Price,Price per meter,Bedrooms,Bathrooms,Floor,View,Year Built,Payment Method,Seller Type,Area in m²,Governorate
6223664,54118,1,1,3,Main Street,2028,Cash or Installments,Developer,115,Greater Cairo
4500000,45000,3,2,1,Other,2025,Cash,Developer,100,Greater Cairo
8888000,67333,2,2,2,Garden,2029,Cash or Installments,Broker,132,Greater Cairo
7966044,45520,3,2,3,Garden,2028,Cash or Installments,Developer,175,Greater Cairo
5000000,62500,1,2,2,Other,2022,Cash,Developer,80,Greater Cairo
5800000,48333,2,2,4,Main Street,2028,Cash or Installments,Broker,120,Greater Cairo
4851000,34899,3,2,3,Main Street,2027,Cash or Installments,Developer,139,Greater Cairo
17700000,88500,3,3,1,Main Street,2028,Cash or Installments,Developer,200,Greater Cairo
16500000,86842,4,4,4,Garden,2023,Cash,Developer,190,Greater Cairo
2922300,28650,2,1,5,Side Street,2025,Cash,Developer,102,Greater Cairo
6307792,90111,1,1,3,Other,2025,Installments,Developer,70,Greater Cairo
2669500,28100,2,1,6,Main Street,2025,Cash or Installments,Developer,95,Greater Cairo
11450531,79517,3,3,1,Main Street,2028,Cash or Installments,Developer,144,Greater Cairo
7500000,44117,3,3,0,Garden,2017,Cash,Developer,170,Greater Cairo
4460875,31637,3,2,4,Main Street,2025,Cash or Installments,Developer,141,Greater Cairo
10586910,54291,3,4,1,Main Street,2028,Cash or Installments,Developer,195,Greater Cairo
6500000,40625,3,3,0,Garden,2023,Cash,Developer,160,Greater Cairo
4609995,30529,3,2,1,Main Street,2027,Installments,Developer,151,Greater Cairo
11040000,92000,2,2,2,Main Street,2027,Cash or Installments,Developer,120,Greater Cairo
4500000,27272,3,3,6,Garden,2025,Cash,Developer,165,Greater Cairo
8000000,51612,2,2,0,Garden,2025,Cash,Developer,155,Greater Cairo
3867750,28650,3,2,5,Main Street,2025,Cash or Installments,Developer,135,Greater Cairo
10160000,79375,2,3,4,Garden,2020,Installments,Developer,128,Greater Cairo
4727250,28650,3,2,3,Main Street,2027,Cash or Installments,Developer,165,Greater Cairo
6100000,50000,2,2,1,Main Street,2029,Cash or Installments,Developer,122,Greater Cairo
4609995,30529,3,2,4,Main Street,2027,Cash or Installments,Developer,151,Greater Cairo
10647000,82534,2,2,2,Main Street,2029,Cash or Installments,Broker,129,Greater Cairo
2700000,22500,2,1,9,Other,2025,Cash,Broker,120,Alexandria
9000000,30000,4,3,0,Garden,2024,Cash or Installments,Developer,300,Greater Cairo
2800000,17500,3,2,2,Main Street,2027,Cash or Installments,Broker,160,Greater Cairo
12301000,139784,1,1,3,Garden,2025,Cash,Broker,88,Greater Cairo
9807260,61295,3,2,4,Main Street,2026,Cash or Installments,Developer,160,Greater Cairo
11150000,144805,1,1,3,Garden,2026,Installments,Developer,77,Greater Cairo
17819650,123747,2,3,3,Main Street,2027,Installments,Developer,144,Greater Cairo
7000000,36842,3,3,3,Garden,2025,Installments,Developer,190,Greater Cairo
8200000,37272,4,4,0,Garden,2023,Cash,Developer,220,Greater Cairo
6550000,40937,3,3,2,Garden,2027,Installments,Developer,160,Greater Cairo
5520000,29677,3,4,2,Garden,2025,Cash,Developer,186,Greater Cairo
4200000,35000,2,2,3,Garden,2027,Installments,Developer,120,Greater Cairo
4400000,73333,1,1,1,Garden,2028,Cash or Installments,Developer,60,Greater Cairo
11264000,71745,3,2,1,Main Street,2028,Cash or Installments,Developer,157,Greater Cairo
6000000,32432,3,3,3,Garden,2023,Cash,Developer,185,Greater Cairo
7000000,53846,3,2,0,Garden,2025,Cash,Broker,130,Greater Cairo
3360000,32000,2,1,2,Main Street,2027,Cash or Installments,Developer,105,Greater Cairo
9563000,74710,2,3,2,Main Street,2028,Cash or Installments,Developer,128,Greater Cairo
6585000,61542,2,2,0,Garden,2027,Installments,Developer,107,Greater Cairo
10300000,51500,3,3,2,Garden,2025,Cash,Broker,200,Greater Cairo
7000000,38043,3,4,3,Garden,2025,Installments,Developer,184,Greater Cairo
11500000,46370,4,4,3,Garden,2025,Cash,Broker,248,Greater Cairo
6800000,37988,3,3,4,Garden,2024,Cash,Developer,179,Greater Cairo
11000000,101851,2,2,2,Garden,2025,Installments,Broker,108,Greater Cairo
5125000,29285,3,2,2,Garden,2024,Cash,Developer,175,Greater Cairo
4000000,100000,1,1,3,Pool,2025,Installments,Broker,40,Greater Cairo
6760000,93888,1,1,5,Garden,2027,Installments,Developer,72,Greater Cairo
7500000,52447,2,3,0,Garden,2027,Installments,Developer,143,Greater Cairo
12350000,68994,3,3,0,Garden,2027,Installments,Developer,179,Greater Cairo
7013000,52335,2,2,3,Garden,2027,Cash or Installments,Private Owner,134,Greater Cairo
1500000,15000,3,1,4,Main Street,2015,Cash,Private Owner,100,Gharbia
5834000,28738,3,3,1,Main Street,2027,Installments,Broker,203,Greater Cairo
2767000,20804,3,2,3,Main Street,2027,Cash or Installments,Broker,133,Greater Cairo
4422000,30496,3,3,3,Plaza,2027,Cash or Installments,Broker,145,Greater Cairo
3819000,25460,3,2,1,Garden,2027,Cash or Installments,Broker,150,Greater Cairo
1400000,16470,2,1,1,Side Street,2013,Cash,Private Owner,85,Greater Cairo
11230000,63806,3,3,0,Garden,2027,Installments,Developer,176,Greater Cairo
3857000,29000,3,3,3,Plaza,2027,Cash or Installments,Broker,133,Greater Cairo
5894000,35083,2,2,2,Garden,2025,Installments,Developer,168,Greater Cairo
4582000,29000,3,3,2,Plaza,2027,Cash or Installments,Broker,158,Greater Cairo
6000000,66666,1,1,0,Garden,2027,Installments,Developer,90,Greater Cairo
4262500,34100,3,3,0,Garden,2027,Cash or Installments,Broker,125,Greater Cairo
2900000,21641,3,2,2,Main Street,2025,Cash or Installments,Broker,134,Greater Cairo
3325000,25000,3,2,3,Main Street,2028,Cash or Installments,Broker,133,Greater Cairo
18355000,129260,3,3,2,Garden,2025,Installments,Developer,142,Greater Cairo
850000,9444,3,1,1,Main Street,2018,Cash,Private Owner,90,Greater Cairo
3440000,16780,3,3,0,Main Street,2025,Cash,Developer,205,Greater Cairo
3970890,30082,3,2,5,Main Street,2025,Cash or Installments,Developer,132,Greater Cairo
3611000,23000,3,3,2,Main Street,2028,Cash or Installments,Broker,157,Greater Cairo
5350000,50471,2,1,4,Garden,2021,Cash,Broker,106,Greater Cairo
17981000,113803,4,3,2,Garden,2025,Installments,Developer,158,Greater Cairo
4465000,19000,3,2,0,Main Street,2025,Cash,Developer,235,Greater Cairo
17981000,113803,4,3,3,Garden,2025,Installments,Developer,158,Greater Cairo
13580000,112231,2,,3,Garden,2025,Installments,Developer,121,Greater Cairo
10986000,69531,3,2,3,Garden,2025,Installments,Developer,158,Greater Cairo
7500000,23437,3,2,4,Main Street,2000,Cash,Broker,320,Greater Cairo
4860000,27000,3,3,2,Garden,2025,Cash or Installments,Developer,180,Greater Cairo
6000000,39473,3,3,2,Golf Course,2028,Cash or Installments,Broker,152,Greater Cairo
3150000,35000,3,1,2,Sea View,2025,Cash or Installments,Broker,90,Marsa Matruh
10829291,94167,,,1,Garden,2025,Installments,Developer,115,Greater Cairo
3375000,27000,3,2,2,Garden,2025,Cash or Installments,Developer,125,Greater Cairo
6800000,37988,3,3,4,Garden,2024,Installments,Developer,179,Greater Cairo
5100000,21250,3,3,1,Garden,2025,Cash or Installments,Developer,240,Greater Cairo
5520000,29837,3,4,2,Garden,2024,Cash,Developer,185,Greater Cairo
1350000,27000,1,1,1,Garden,2025,Cash or Installments,Developer,50,Greater Cairo
4500000,30000,3,2,2,Main Street,2025,Cash or Installments,Developer,150,Greater Cairo
5000000,35460,3,2,6,Garden,2025,Installments,Developer,141,Greater Cairo
2209500,45091,1,1,1,Garden,2024,Cash or Installments,Developer,49,Greater Cairo
5000000,28571,3,3,5,Garden,2025,Installments,Developer,175,Greater Cairo
4158000,27000,3,2,2,Pool,2025,Installments,Broker,154,Greater Cairo
3108000,20051,3,2,1,Main Street,2026,Installments,Broker,155,Greater Cairo
2000000,12121,3,2,1,Main Street,1988,Cash,Broker,165,Greater Cairo
4158000,27000,3,2,3,Garden,2025,Cash or Installments,Broker,154,Greater Cairo
7315000,55000,3,2,12,Side Street,2027,Installments,Broker,133,Alexandria
1500000,9677,3,2,5,Main Street,2008,Cash,Broker,155,Greater Cairo
3800000,21714,3,2,9,Side Street,2028,Cash or Installments,Broker,175,Greater Cairo
7000000,50000,3,2,12,Side Street,2027,Installments,Broker,140,Alexandria
5500000,41353,2,2,0,Garden,2025,Installments,Developer,133,Greater Cairo
2317500,14951,3,2,1,Main Street,2026,Installments,Broker,155,Greater Cairo
4910000,35071,3,2,2,Side Street,2025,Cash or Installments,Broker,140,Greater Cairo
7600000,21714,3,3,0,Garden,2025,Cash or Installments,Broker,350,Greater Cairo
3108000,20051,3,2,4,Main Street,2026,Installments,Broker,155,Greater Cairo
5300000,21200,4,3,1,,2020,,Broker,250,Greater Cairo
6750000,24107,4,3,3,Garden,2025,Cash,Developer,280,Greater Cairo
3000000,38961,1,1,0,Garden,2025,Cash or Installments,Broker,77,Greater Cairo
6500000,38235,3,3,4,Main Street,2020,Cash,Broker,170,Greater Cairo
3887500,31100,2,1,3,Other,2011,Cash,Broker,125,Greater Cairo
1100000,11000,3,1,11,Sea View,2010,Cash,Private Owner,100,Alexandria
5225000,29857,3,3,2,Main Street,2025,Cash,Private Owner,175,Greater Cairo
5950000,35000,3,3,0,Main Street,2027,Cash or Installments,Broker,170,Greater Cairo
9500000,35185,3,3,6,Main Street,2025,Cash,Broker,270,Greater Cairo
2550000,25000,2,2,0,Main Street,2024,Cash or Installments,Broker,102,Greater Cairo
5116000,36542,2,2,6,Side Street,2022,Installments,Broker,140,Greater Cairo
3000000,11538,2,2,8,Other,2011,Cash,Broker,260,Greater Cairo
8000000,40000,3,2,1,Other,2011,Cash,Broker,200,Greater Cairo
4000000,30769,,,10,Other,2011,Cash,Broker,130,Greater Cairo
4700000,26111,3,3,2,Garden,2025,Cash or Installments,Developer,180,Greater Cairo
26225255,104901,6,7,3,Main Street,2029,Cash or Installments,Broker,250,Greater Cairo
14500000,41428,3,3,0,Pool,2022,Cash,Broker,350,Greater Cairo
21521151,93570,3,,2,Main Street,2029,Cash or Installments,Broker,230,Greater Cairo
15466880,118976,2,2,2,Main Street,2029,Cash or Installments,Broker,130,Greater Cairo
12673839,79211,3,3,2,Main Street,2029,Cash or Installments,Broker,160,Greater Cairo
12955283,78516,3,3,5,Main Street,2029,Cash or Installments,Broker,165,Greater Cairo
10581053,68264,3,,5,Main Street,2029,Cash or Installments,Broker,155,Greater Cairo
12368165,85297,3,3,2,Garden,2029,Cash or Installments,Broker,145,Greater Cairo
17731514,126653,3,,2,Garden,2029,Cash or Installments,Broker,140,Greater Cairo
15621343,82217,3,3,2,Garden,2029,Cash or Installments,Broker,190,Greater Cairo
14497819,76304,3,,2,Garden,2029,Cash or Installments,Broker,190,Greater Cairo
16044684,139518,2,,2,Main Street,2029,Cash or Installments,Broker,115,Greater Cairo
13861068,126009,2,,2,Garden,2029,Cash or Installments,Broker,110,Greater Cairo
5200000,39097,2,3,2,Sea View,2025,Installments,Broker,133,North Coast
6793194,41676,3,3,3,Main Street,2024,Cash or Installments,Broker,163,Greater Cairo
3611000,23000,3,3,2,Garden,2028,Cash or Installments,Broker,157,Greater Cairo
4700000,27647,3,2,0,Garden,2025,Cash,Broker,170,Greater Cairo
6870000,49782,2,2,4,Side Street,2025,Cash,Broker,138,Greater Cairo
14350000,51250,4,3,4,Lake,2025,Cash,Broker,280,Greater Cairo
10137858,33458,4,5,5,Main Street,2028,Cash or Installments,Broker,303,Greater Cairo
6000000,21352,3,3,0,Side Street,2025,Cash or Installments,Broker,281,Greater Cairo
7000000,50000,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
6643682,38626,3,3,4,Main Street,2024,Cash or Installments,Broker,172,Greater Cairo
5000000,33333,3,2,2,Garden,2025,Cash,Broker,150,Greater Cairo
10437812,33889,5,6,5,Garden,2028,Cash or Installments,Broker,308,Greater Cairo
3250000,36111,2,1,4,Garden,2025,Cash,Broker,90,Greater Cairo
4200000,28000,3,2,4,Garden,2025,Cash,Broker,150,Greater Cairo
5540000,23574,3,3,2,Garden,2025,Cash,Broker,235,Greater Cairo
4350000,23015,3,2,1,Garden,2025,Cash,Broker,189,Greater Cairo
4800000,23529,4,4,2,Sea View,2025,Installments,Broker,204,North Coast
11700000,42545,4,5,3,Main Street,2025,Installments,Broker,275,Greater Cairo
8650000,59655,2,3,3,Garden,2024,Cash or Installments,Broker,145,Greater Cairo
7464500,45239,3,3,5,Main Street,2028,Cash or Installments,Broker,165,Greater Cairo
6200000,35428,3,2,2,Plaza,2025,Installments,Broker,175,North Coast
7500000,40540,3,3,1,Main Street,2025,Cash,Broker,185,Greater Cairo
6601001,39291,3,2,0,Main Street,2028,Cash or Installments,Broker,168,Greater Cairo
5300000,25728,4,4,2,Sea View,2025,Installments,Broker,206,North Coast
13000000,93525,,,1,Main Street,2025,Cash,Broker,139,Greater Cairo
7655250,43250,3,3,0,Main Street,2028,Cash or Installments,Broker,177,Greater Cairo
7464500,45239,3,3,0,Main Street,2028,Cash or Installments,Broker,165,Greater Cairo
5224196,44651,2,2,1,Main Street,2028,Cash or Installments,Broker,117,Greater Cairo
5159700,42997,2,2,4,Main Street,2028,Cash or Installments,Broker,120,Greater Cairo
5524155,48886,2,2,0,Main Street,2028,Cash or Installments,Broker,113,Greater Cairo
4912601,45487,2,1,4,Main Street,2028,Cash or Installments,Broker,108,Greater Cairo
5159700,42997,2,2,0,Main Street,2028,Cash or Installments,Broker,120,Greater Cairo
1190000,34000,1,1,4,Pool,2026,Cash or Installments,Broker,35,Hurghada
5000000,30303,3,2,2,Main Street,2025,Installments,Broker,165,Greater Cairo
6800000,58119,2,2,2,Main Street,2025,Cash,Broker,117,Greater Cairo
4171259,44375,2,2,2,Main Street,2028,Cash or Installments,Broker,94,Greater Cairo
5500000,21568,3,4,0,Garden,2025,Cash or Installments,Broker,255,Greater Cairo
5195000,49009,2,2,2,Main Street,2025,Cash or Installments,Broker,106,Hurghada
7370000,44666,3,3,0,Garden,2025,Cash or Installments,Broker,165,Greater Cairo
5850000,50431,3,2,2,Garden,2025,Cash,Broker,116,Greater Cairo
7870000,30862,4,3,5,Garden,2022,Cash or Installments,Broker,255,Greater Cairo
8800000,39461,4,,1,Garden,2028,Cash or Installments,Broker,223,Greater Cairo
5145000,27810,3,3,1,Other,2025,Installments,Broker,185,Greater Cairo
7750000,36904,3,3,1,Garden,2025,Cash,Broker,210,Greater Cairo
5100000,40800,2,1,2,Plaza,2025,Installments,Broker,125,North Coast
15200000,110948,2,3,9,Garden,2027,Cash,Broker,137,Greater Cairo
3200000,17777,3,3,0,Garden,2024,Cash or Installments,Broker,180,Greater Cairo
4527023,49747,2,2,0,Main Street,2028,Cash or Installments,Broker,91,Greater Cairo
4500000,22500,3,2,5,Main Street,2020,Cash,Broker,200,Greater Cairo
7750000,50000,3,3,1,Main Street,2025,Cash or Installments,Broker,155,Greater Cairo
6000000,54545,2,2,1,Garden,2028,Cash or Installments,Broker,110,Greater Cairo
4900000,40495,2,2,1,Main Street,2025,Cash or Installments,Broker,121,North Coast
6500000,42483,3,2,1,Garden,2026,Cash,Broker,153,Alexandria
4910000,35071,3,2,,Corner,,Cash,Broker,140,Greater Cairo
1500000,28846,1,1,3,Garden,2028,Cash or Installments,Broker,52,Greater Cairo
8000000,26666,3,3,3,Garden,2025,Cash,Broker,300,Greater Cairo
7560000,42000,3,3,2,Side Street,1990,Cash or Installments,Broker,180,Greater Cairo
4386000,25500,3,2,2,Side Street,2025,Installments,Broker,172,Greater Cairo
2500000,12500,,,,Side Street,,Cash,Broker,200,Sharqia
10986000,69531,3,2,2,Garden,2025,Cash or Installments,Broker,158,Greater Cairo
7410000,38000,3,3,5,Main Street,2020,Cash,Broker,195,Greater Cairo
4855000,25552,3,3,3,Side Street,2027,Installments,Broker,190,Greater Cairo
5300000,28804,3,3,2,Side Street,2025,Installments,Broker,184,Greater Cairo
8000000,63492,2,2,1,Garden,2025,Cash or Installments,Broker,126,Greater Cairo
4750000,47500,2,1,2,Garden,2025,Cash,Broker,100,Greater Cairo
5950000,58333,2,2,0,Garden,2025,Cash,Broker,102,Greater Cairo
5600000,31111,3,2,2,Corner,2025,Cash,Broker,180,Greater Cairo
4860000,31153,3,3,2,Pool,2026,Cash or Installments,Broker,156,Greater Cairo
5200000,37142,3,3,5,Main Street,2022,Cash,Broker,140,Greater Cairo
9300000,66428,3,2,2,Garden,2028,Cash or Installments,Broker,140,Greater Cairo
7159655,57739,3,2,0,Garden,2027,Cash or Installments,Broker,124,Greater Cairo
5460000,32117,3,2,0,Main Street,2019,Cash,Broker,170,Greater Cairo
10986000,69531,3,2,1,Garden,2025,Cash or Installments,Broker,158,Greater Cairo
7000000,37837,3,4,2,Garden,2025,Cash,Broker,185,Greater Cairo
7615000,62933,2,2,2,Garden,2025,Cash or Installments,Broker,121,Greater Cairo
10300000,39615,3,2,0,Main Street,2019,Cash,Broker,260,Greater Cairo
7600000,38000,4,3,3,Main Street,2020,Cash,Broker,200,Greater Cairo
11700000,57352,2,3,2,Sea View,2025,Installments,Broker,204,North Coast
10800000,52173,2,3,2,Sea View,2025,Installments,Broker,207,North Coast
4560000,23030,3,3,2,Main Street,2018,Cash,Broker,198,Greater Cairo
5670000,31853,3,2,0,Main Street,2019,Cash,Broker,178,Greater Cairo
12331502,42817,3,5,3,Garden,2026,Cash or Installments,Broker,288,Greater Cairo
15000000,35294,6,5,5,Main Street,2019,Cash,Broker,425,Alexandria
1200000,8000,3,1,,Corner,,Cash or Installments,Private Owner,150,Greater Cairo
8246812,85018,1,1,2,Sea View,2025,Installments,Broker,97,North Coast
14714406,42404,,,2,Main Street,2029,Cash or Installments,Broker,347,Greater Cairo
7262000,30902,4,3,1,Main Street,2019,Cash,Broker,235,Greater Cairo
8317260,44240,3,2,2,Main Street,2029,Cash or Installments,Broker,188,Greater Cairo
7933530,47223,3,2,2,Garden,2025,Cash or Installments,Broker,168,Greater Cairo
9600000,49740,3,3,2,Sea View,2025,Installments,Broker,193,North Coast
6750375,45920,2,2,2,Garden,2026,Cash or Installments,Broker,147,Greater Cairo
3180000,26500,3,2,1,Main Street,2013,Cash,Broker,120,Greater Cairo
9950000,28840,4,4,1,Main Street,2029,Cash or Installments,Broker,345,Greater Cairo
8550000,50294,2,2,2,Sea View,2025,Installments,Broker,170,North Coast
5637500,27500,3,3,4,Main Street,2027,Installments,Broker,205,Greater Cairo
3450000,25555,,,,Garden,,Cash,Broker,135,Greater Cairo
9995000,28971,4,4,1,Main Street,2027,Cash,Developer,345,Greater Cairo
10306261,64414,3,,2,Main Street,2026,Cash or Installments,Broker,160,Greater Cairo
1290000,16125,2,1,1,Main Street,2016,Cash,Broker,80,Greater Cairo
5800000,35151,3,2,1,Main Street,2029,Cash or Installments,Broker,165,Greater Cairo
8261000,43941,3,3,2,Sea View,2025,Installments,Broker,188,North Coast
5020000,64358,1,1,0,Garden,2027,Cash or Installments,Broker,78,Greater Cairo
1500000,18750,2,1,1,Main Street,2017,Cash,Broker,80,Greater Cairo
13000000,61904,3,3,1,Main Street,2027,Cash or Installments,Broker,210,Greater Cairo
7430000,37908,3,2,2,Sea View,2025,Installments,Broker,196,North Coast
2250000,18000,2,1,3,Main Street,2027,Cash,Developer,125,Greater Cairo
6800000,38857,3,2,0,Garden,2025,Cash,Broker,175,Greater Cairo
8861779,28772,3,2,4,Garden,2029,Cash or Installments,Broker,308,Greater Cairo
12000000,55813,3,,2,Garden,2025,Cash,Broker,215,Greater Cairo
4764092,36091,2,2,0,Garden,2025,Cash or Installments,Broker,132,Greater Cairo
5904000,46125,1,1,2,Back,2029,Cash or Installments,Broker,128,Greater Cairo
11900000,72121,3,3,2,Main Street,2025,Cash or Installments,Broker,165,Greater Cairo
10500000,75000,3,3,2,Main Street,2025,Cash or Installments,Broker,140,Greater Cairo
6100000,36094,2,3,2,Sea View,2025,Installments,Broker,169,North Coast
11900000,72121,3,3,1,Main Street,2025,Cash or Installments,Broker,165,Greater Cairo
6700000,57758,1,1,2,Sea View,2025,Installments,Broker,116,North Coast
11500000,89843,2,,2,Main Street,2025,Cash or Installments,Broker,128,Greater Cairo
5500000,47413,1,1,2,Sea View,2025,Installments,Broker,116,North Coast
9750000,81250,2,,2,Main Street,2025,Cash or Installments,Broker,120,Greater Cairo
5700000,33333,1,2,2,Sea View,2025,Installments,Broker,171,North Coast
7487509,74133,2,2,4,Main Street,2025,Cash or Installments,Broker,101,Greater Cairo
6200000,25833,3,2,15,Side Street,2020,Cash,Broker,240,Greater Cairo
5950000,58333,2,2,0,Garden,2022,Cash,Broker,102,Greater Cairo
12205000,74877,2,3,3,Lake,2027,Cash or Installments,Broker,163,Greater Cairo
4750000,38000,2,2,1,Main Street,2026,Cash or Installments,Broker,125,Hurghada
2950000,28095,2,1,7,Side Street,2020,Cash,Broker,105,Greater Cairo
5400000,30000,3,3,1,Main Street,2025,Cash or Installments,Broker,180,Greater Cairo
9995000,68931,4,4,1,Main Street,2025,Cash,Developer,145,Greater Cairo
3316416,69092,1,1,4,Main Street,2025,Cash or Installments,Broker,48,Greater Cairo
3700000,32456,2,2,5,Garden,2028,Cash or Installments,Broker,114,Greater Cairo
7048125,39375,3,2,1,Main Street,2028,Cash or Installments,Broker,179,Greater Cairo
6300000,30000,4,3,2,Main Street,2025,Cash or Installments,Broker,210,Greater Cairo
5644000,34206,3,2,0,Garden,2022,Cash or Installments,Broker,165,Greater Cairo
10033650,59021,3,3,3,Main Street,2029,Cash or Installments,Broker,170,Greater Cairo
3500000,27559,2,2,1,Main Street,2017,Cash,Broker,127,Greater Cairo
7263200,66634,1,1,2,Main Street,2029,Cash or Installments,Broker,109,Greater Cairo
3250000,23214,3,3,5,Main Street,2017,Cash,Broker,140,Greater Cairo
7288400,57844,1,1,1,Main Street,2028,Cash or Installments,Broker,126,Greater Cairo
9017314,68312,3,2,1,Garden,2027,Cash or Installments,Broker,132,Greater Cairo
8300000,66400,2,1,1,Main Street,2028,Cash or Installments,Broker,125,Greater Cairo
6960000,44050,3,2,5,Garden,2027,Cash or Installments,Broker,158,Greater Cairo
4870829,74935,1,1,4,Garden,2027,Cash or Installments,Broker,65,Greater Cairo
6290000,54224,2,1,1,Main Street,2028,Cash or Installments,Broker,116,Greater Cairo
4900066,61250,1,2,0,Garden,2027,Cash or Installments,Broker,80,Greater Cairo
4900066,61250,1,2,1,Pool,2027,Cash or Installments,Broker,80,Greater Cairo
5200000,27368,3,3,6,Main Street,2025,Cash,Broker,190,Greater Cairo
4390000,22512,3,3,0,Garden,2025,Cash,Broker,195,Greater Cairo
3600000,23076,3,2,7,Garden,2021,Cash,Broker,156,Greater Cairo
1200000,12500,2,1,13,,2017,,Private Owner,96,Greater Cairo
3000000,24390,3,3,1,Main Street,2027,Cash or Installments,Broker,123,Greater Cairo
1850000,11935,3,2,3,Corner,2025,Cash or Installments,Broker,155,Greater Cairo
4875000,39000,3,2,2,Garden,2024,Cash or Installments,Developer,125,Greater Cairo
9100000,75833,2,2,2,Main Street,2024,Cash or Installments,Broker,120,Greater Cairo
5600000,31111,3,3,3,Garden,2015,Cash,Broker,180,Greater Cairo
1400000,10370,3,2,2,Main Street,2025,Cash,Broker,135,Greater Cairo
7125224,63055,2,,5,Main Street,2028,Cash or Installments,Developer,113,Greater Cairo
6000000,27272,4,2,4,Side Street,2024,Cash,Broker,220,Greater Cairo
7430000,33772,4,4,4,Main Street,2022,Cash or Installments,Broker,220,Greater Cairo
12000000,60000,3,3,2,Garden,2025,Cash,Broker,200,Greater Cairo
4950000,23023,3,2,2,Other,1995,Cash,Broker,215,Alexandria
10118089,87224,2,2,0,Garden,2029,Cash or Installments,Broker,116,Greater Cairo
6575000,39136,3,2,3,Main Street,2024,Cash,Broker,168,Greater Cairo
9098363,90082,2,2,1,Garden,2029,Cash or Installments,Broker,101,Greater Cairo
20279496,94323,3,3,0,Garden,2029,Cash or Installments,Broker,215,Greater Cairo
12348867,92155,3,2,6,Lake,2029,Cash or Installments,Broker,134,Greater Cairo
20534312,95066,3,4,0,Pool,2029,Cash or Installments,Broker,216,Greater Cairo
10228079,82484,3,2,5,Garden,2029,Cash or Installments,Broker,124,Greater Cairo
10410742,78276,3,2,3,Garden,2029,Cash or Installments,Broker,133,Greater Cairo
12348867,92155,3,2,5,Lake,2029,Cash or Installments,Broker,134,Greater Cairo
7470008,74700,2,1,5,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
4582000,29000,3,3,3,Main Street,2028,Installments,Broker,158,Greater Cairo
10691761,80389,3,2,5,Garden,2029,Cash or Installments,Broker,133,Greater Cairo
9098363,90082,2,2,0,Garden,2029,Cash or Installments,Broker,101,Greater Cairo
9098363,90983,2,2,0,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
9730000,57916,3,3,0,Garden,2029,Cash or Installments,Broker,168,Greater Cairo
7470008,74700,2,1,2,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
9098363,90983,2,2,6,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
9730000,57916,3,3,3,Garden,2029,Cash or Installments,Broker,168,Greater Cairo
8000000,80000,2,1,0,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
7800000,78000,2,1,1,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
10228079,82484,3,2,0,Garden,2029,Cash or Installments,Broker,124,Greater Cairo
7800000,78000,2,1,2,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
8470449,52940,3,3,4,Pool,2029,Cash or Installments,Broker,160,Greater Cairo
7800000,78000,2,1,5,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
8470449,52940,3,3,5,Garden,2029,Cash or Installments,Broker,160,Greater Cairo
3115000,86527,1,1,0,Garden,2029,Cash or Installments,Broker,36,Greater Cairo
4636000,38000,3,3,3,Main Street,2027,Cash or Installments,Broker,122,Greater Cairo
3150000,18975,3,2,1,Main Street,2016,Cash,Broker,166,Greater Cairo
9000000,40909,3,2,9,Main Street,1990,Cash,Broker,220,Greater Cairo
7900000,34347,4,2,2,Pool,2025,Cash,Broker,230,Greater Cairo
4720000,76129,1,1,3,Main Street,2024,Cash,Broker,62,Greater Cairo
6200000,49600,2,,3,Garden,2027,Cash or Installments,Broker,125,Greater Cairo
3275000,69680,1,1,1,Garden,2029,Cash or Installments,Broker,47,Greater Cairo
4712000,38000,3,3,1,Main Street,2027,Cash or Installments,Broker,124,Greater Cairo
4924192,57258,1,,2,Garden,2027,Cash or Installments,Broker,86,Greater Cairo
3275000,69680,1,1,2,Garden,2029,Cash or Installments,Broker,47,Greater Cairo
4522000,38000,3,3,1,Main Street,2027,Cash or Installments,Broker,119,Greater Cairo
11044950,35175,,,3,Garden,2027,Cash or Installments,Broker,314,Greater Cairo
3275000,69680,1,1,4,Garden,2029,Cash or Installments,Broker,47,Greater Cairo
9424800,35700,,,3,Garden,2027,Cash or Installments,Broker,264,Greater Cairo
13000000,52000,3,3,4,Side Street,2025,Cash,Broker,250,Greater Cairo
3982000,22000,3,3,2,Main Street,2028,Cash or Installments,Broker,181,Greater Cairo
10071600,37440,4,4,3,Garden,2027,Cash or Installments,Broker,269,Greater Cairo
5350000,50000,2,1,4,Garden,2025,Cash,Broker,107,Greater Cairo
4712000,38000,3,3,2,Main Street,2027,Cash or Installments,Broker,124,Greater Cairo
8976000,34000,4,4,3,Main Street,2028,Cash or Installments,Broker,264,Greater Cairo
7889700,35700,4,4,3,Main Street,2028,Cash or Installments,Broker,221,Greater Cairo
7602000,38010,3,,3,Main Street,2028,Cash or Installments,Broker,200,Greater Cairo
4636000,38000,3,3,1,Main Street,2027,Cash or Installments,Broker,122,Greater Cairo
